Gene: group_10061, Count of 1s: 9, Samples with 1s: ['ERR4034211', 'ERR4034218', 'ERR4034964', 'ERR4035377', 'ERR4035765', 'ERR4035970', 'ERR4036038', 'ERR4036930', 'ERR4036936']
Gene: group_10650, Count of 1s: 2, Samples with 1s: ['ERR4034506', 'ERR4036045']
Gene: group_10651, Count of 1s: 2, Samples with 1s: ['ERR4036348', 'ERR4036413']
Gene: group_10654, Count of 1s: 2, Samples with 1s: ['ERR4034234', 'ERR4036811']
Gene: group_10659, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_1066, Count of 1s: 2, Samples with 1s: ['ERR4035540', 'ERR4037450']
Gene: group_10662, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_10665, Count of 1s: 2, Samples with 1s: ['ERR4035238', 'ERR4036178']
Gene: group_10668, Count of 1s: 2, Samples with 1s: ['ERR4035561', 'ERR4037404']
Gene: group_10671, Count of 1s: 2, Samples with 1s: ['ERR4034394', 'ERR4036654']
Gene: group_10672, Count of 1s: 2, Samples with 1s: ['ERR4035377', 'ERR4035817']
Gene: group_10674, Count of 1s: 2, Samples with 1s: ['ERR4034164', 'ERR4035683']
Gene: hscC_2, Count of 1s: 2, Samples with 1s: ['ERR4034234', 'ERR4036811']
Gene: group_10678, Count of 1s: 2, Samples with 1s: ['ERR4035377', 'ERR4037448']
Gene: group_10682, Count of 1s: 2, Samples with 1s: ['ERR4034254', 'ERR4036777']
Gene: group_10683, Count of 1s: 2, Samples with 1s: ['ERR4035712', 'ERR4036280']
Gene: group_10687, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_10689, Count of 1s: 2, Samples with 1s: ['ERR4035159', 'ERR4037393']
Gene: group_1069, Count of 1s: 2, Samples with 1s: ['ERR4035765', 'ERR4036501']
Gene: group_10690, Count of 1s: 2, Samples with 1s: ['ERR4036131', 'ERR4037393']
Gene: group_10695, Count of 1s: 2, Samples with 1s: ['ERR4034938', 'ERR4037116']
Gene: group_10702, Count of 1s: 2, Samples with 1s: ['ERR4034254', 'ERR4036777']
Gene: group_10705, Count of 1s: 2, Samples with 1s: ['ERR4036811', 'ERR4037218']
Gene: group_10706, Count of 1s: 2, Samples with 1s: ['ERR4035540', 'ERR4037450']
Gene: group_10707, Count of 1s: 2, Samples with 1s: ['ERR4035208', 'ERR4035939']
Gene: group_10709, Count of 1s: 2, Samples with 1s: ['ERR4034955', 'ERR4037423']
Gene: group_10714, Count of 1s: 2, Samples with 1s: ['ERR4035238', 'ERR4036178']
Gene: group_10717, Count of 1s: 2, Samples with 1s: ['ERR4034670', 'ERR4036391']
Gene: group_10721, Count of 1s: 2, Samples with 1s: ['ERR4034313', 'ERR4036397']
Gene: group_10724, Count of 1s: 2, Samples with 1s: ['ERR4034971', 'ERR4035212']
Gene: group_10726, Count of 1s: 2, Samples with 1s: ['ERR4036038', 'ERR4036936']
Gene: group_10727, Count of 1s: 2, Samples with 1s: ['ERR4035135', 'ERR4036794']
Gene: group_1073, Count of 1s: 2, Samples with 1s: ['ERR4034137', 'ERR4034942']
Gene: group_10732, Count of 1s: 2, Samples with 1s: ['ERR4034254', 'ERR4036777']
Gene: group_10736, Count of 1s: 2, Samples with 1s: ['ERR4036171', 'ERR4037007']
Gene: group_10742, Count of 1s: 2, Samples with 1s: ['ERR4035712', 'ERR4036614']
Gene: group_10749, Count of 1s: 2, Samples with 1s: ['ERR4035229', 'ERR4035568']
Gene: group_10750, Count of 1s: 2, Samples with 1s: ['ERR4035238', 'ERR4036178']
Gene: group_10760, Count of 1s: 2, Samples with 1s: ['ERR4035542', 'ERR4036171']
Gene: group_10764, Count of 1s: 2, Samples with 1s: ['ERR4034864', 'ERR4037404']
Gene: group_10773, Count of 1s: 2, Samples with 1s: ['ERR4035238', 'ERR4036178']
Gene: group_10782, Count of 1s: 2, Samples with 1s: ['ERR4036199', 'ERR4037259']
Gene: group_10784, Count of 1s: 2, Samples with 1s: ['ERR4034538', 'ERR4037260']
Gene: group_10785, Count of 1s: 2, Samples with 1s: ['ERR4035690', 'ERR4037202']
Gene: group_10786, Count of 1s: 2, Samples with 1s: ['ERR4034467', 'ERR4036535']
Gene: group_10788, Count of 1s: 2, Samples with 1s: ['ERR4034964', 'ERR4035377']
Gene: group_10790, Count of 1s: 2, Samples with 1s: ['ERR4036245', 'ERR4037259']
Gene: group_10793, Count of 1s: 2, Samples with 1s: ['ERR4035274', 'ERR4036186']
Gene: group_10800, Count of 1s: 2, Samples with 1s: ['ERR4036936', 'ERR4037260']
Gene: group_10808, Count of 1s: 2, Samples with 1s: ['ERR4035320', 'ERR4036391']
Gene: group_1081, Count of 1s: 2, Samples with 1s: ['ERR4035238', 'ERR4037260']
Gene: group_10812, Count of 1s: 2, Samples with 1s: ['ERR4035408', 'ERR4037442']
Gene: group_10813, Count of 1s: 2, Samples with 1s: ['ERR4035268', 'ERR4036171']
Gene: group_10815, Count of 1s: 2, Samples with 1s: ['ERR4034971', 'ERR4035212']
Gene: group_10819, Count of 1s: 2, Samples with 1s: ['ERR4035765', 'ERR4036380']
Gene: group_10823, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4034915']
Gene: group_10828, Count of 1s: 2, Samples with 1s: ['ERR4037218', 'ERR4037259']
Gene: group_10831, Count of 1s: 2, Samples with 1s: ['ERR4035268', 'ERR4036171']
Gene: group_10846, Count of 1s: 2, Samples with 1s: ['ERR4034367', 'ERR4036483']
Gene: ydjH_2, Count of 1s: 2, Samples with 1s: ['ERR4034964', 'ERR4035377']
Gene: group_10854, Count of 1s: 2, Samples with 1s: ['ERR4035377', 'ERR4035969']
Gene: group_10855, Count of 1s: 2, Samples with 1s: ['ERR4034670', 'ERR4035520']
Gene: group_1086, Count of 1s: 2, Samples with 1s: ['ERR4036169', 'ERR4036777']
Gene: group_10861, Count of 1s: 2, Samples with 1s: ['ERR4036769', 'ERR4036777']
Gene: group_10862, Count of 1s: 2, Samples with 1s: ['ERR4034164', 'ERR4035229']
Gene: group_10867, Count of 1s: 2, Samples with 1s: ['ERR4036182', 'ERR4036483']
Gene: group_10868, Count of 1s: 2, Samples with 1s: ['ERR4036380', 'ERR4037405']
Gene: group_10877, Count of 1s: 2, Samples with 1s: ['ERR4036131', 'ERR4037393']
Gene: group_10879, Count of 1s: 2, Samples with 1s: ['ERR4034519', 'ERR4035690']
Gene: group_10881, Count of 1s: 2, Samples with 1s: ['ERR4034367', 'ERR4037378']
Gene: group_10884, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4034915']
Gene: group_10886, Count of 1s: 2, Samples with 1s: ['ERR4034598', 'ERR4036144']
Gene: group_10888, Count of 1s: 2, Samples with 1s: ['ERR4036199', 'ERR4037259']
Gene: group_10903, Count of 1s: 2, Samples with 1s: ['ERR4036045', 'ERR4037396']
Gene: group_10907, Count of 1s: 2, Samples with 1s: ['ERR4035817', 'ERR4035969']
Gene: group_10909, Count of 1s: 2, Samples with 1s: ['ERR4037406', 'ERR4037435']
Gene: group_10912, Count of 1s: 2, Samples with 1s: ['ERR4035817', 'ERR4036245']
Gene: group_10914, Count of 1s: 2, Samples with 1s: ['ERR4034506', 'ERR4034825']
Gene: group_10918, Count of 1s: 2, Samples with 1s: ['ERR4035320', 'ERR4036391']
Gene: gltR_2, Count of 1s: 2, Samples with 1s: ['ERR4034854', 'ERR4035590']
Gene: gspE_1, Count of 1s: 2, Samples with 1s: ['ERR4034530', 'ERR4036424']
Gene: group_10923, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4034915']
Gene: group_10924, Count of 1s: 2, Samples with 1s: ['ERR4035692', 'ERR4036391']
Gene: group_10930, Count of 1s: 2, Samples with 1s: ['ERR4036199', 'ERR4037259']
Gene: gadX_3, Count of 1s: 2, Samples with 1s: ['ERR4034699', 'ERR4037448']
Gene: group_10940, Count of 1s: 2, Samples with 1s: ['ERR4035690', 'ERR4037202']
Gene: dmsA_2, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_10947, Count of 1s: 2, Samples with 1s: ['ERR4034743', 'ERR4035669']
Gene: group_10949, Count of 1s: 2, Samples with 1s: ['ERR4035268', 'ERR4036171']
Gene: group_1095, Count of 1s: 2, Samples with 1s: ['ERR4034670', 'ERR4035919']
Gene: group_10951, Count of 1s: 2, Samples with 1s: ['ERR4034884', 'ERR4034979']
Gene: group_10955, Count of 1s: 2, Samples with 1s: ['ERR4035568', 'ERR4036038']
Gene: group_10956, Count of 1s: 2, Samples with 1s: ['ERR4036794', 'ERR4037404']
Gene: group_10962, Count of 1s: 2, Samples with 1s: ['ERR4035431', 'ERR4035939']
Gene: group_10965, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4034915']
Gene: group_10967, Count of 1s: 2, Samples with 1s: ['ERR4034870', 'ERR4037007']
Gene: group_10972, Count of 1s: 2, Samples with 1s: ['ERR4035568', 'ERR4036397']
Gene: group_10973, Count of 1s: 2, Samples with 1s: ['ERR4035690', 'ERR4037202']
Gene: group_1098, Count of 1s: 2, Samples with 1s: ['ERR4035421', 'ERR4035454']
Gene: group_10993, Count of 1s: 2, Samples with 1s: ['ERR4035238', 'ERR4036178']
Gene: group_10994, Count of 1s: 2, Samples with 1s: ['ERR4034162', 'ERR4034670']
Gene: group_10997, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_11, Count of 1s: 2, Samples with 1s: ['ERR4034980', 'ERR4036204']
Gene: group_11002, Count of 1s: 2, Samples with 1s: ['ERR4034506', 'ERR4034672']
Gene: group_11008, Count of 1s: 2, Samples with 1s: ['ERR4034254', 'ERR4037448']
Gene: pglH, Count of 1s: 2, Samples with 1s: ['ERR4034884', 'ERR4034979']
Gene: group_11019, Count of 1s: 2, Samples with 1s: ['ERR4034825', 'ERR4036171']
Gene: group_11024, Count of 1s: 2, Samples with 1s: ['ERR4035690', 'ERR4037202']
Gene: group_11025, Count of 1s: 2, Samples with 1s: ['ERR4034687', 'ERR4035900']
Gene: group_11029, Count of 1s: 2, Samples with 1s: ['ERR4034506', 'ERR4035955']
Gene: ftsH4_2, Count of 1s: 2, Samples with 1s: ['ERR4034964', 'ERR4035377']
Gene: group_11035, Count of 1s: 2, Samples with 1s: ['ERR4036391', 'ERR4037260']
Gene: yknY, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_1104, Count of 1s: 2, Samples with 1s: ['ERR4034672', 'ERR4035564']
Gene: group_11042, Count of 1s: 2, Samples with 1s: ['ERR4035328', 'ERR4037435']
Gene: group_11043, Count of 1s: 2, Samples with 1s: ['ERR4035939', 'ERR4036045']
Gene: group_11049, Count of 1s: 2, Samples with 1s: ['ERR4035236', 'ERR4037202']
Gene: group_11051, Count of 1s: 2, Samples with 1s: ['ERR4034631', 'ERR4036175']
Gene: group_11063, Count of 1s: 2, Samples with 1s: ['ERR4036348', 'ERR4036413']
Gene: hadI, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4034915']
Gene: acrE_2, Count of 1s: 2, Samples with 1s: ['ERR4034467', 'ERR4034563']
Gene: group_11078, Count of 1s: 2, Samples with 1s: ['ERR4034467', 'ERR4034563']
Gene: group_11080, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4034915']
Gene: group_11084, Count of 1s: 2, Samples with 1s: ['ERR4034254', 'ERR4036777']
Gene: group_11087, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4034915']
Gene: group_1109, Count of 1s: 2, Samples with 1s: ['ERR4034506', 'ERR4034672']
Gene: group_11091, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_11097, Count of 1s: 2, Samples with 1s: ['ERR4034154', 'ERR4037222']
Gene: group_11113, Count of 1s: 2, Samples with 1s: ['ERR4035765', 'ERR4036380']
Gene: group_11124, Count of 1s: 2, Samples with 1s: ['ERR4035765', 'ERR4036501']
Gene: group_11128, Count of 1s: 2, Samples with 1s: ['ERR4034538', 'ERR4037260']
Gene: group_11129, Count of 1s: 2, Samples with 1s: ['ERR4036936', 'ERR4037423']
Gene: group_1113, Count of 1s: 2, Samples with 1s: ['ERR4034462', 'ERR4034786']
Gene: group_11135, Count of 1s: 2, Samples with 1s: ['ERR4037406', 'ERR4037423']
Gene: group_1114, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_11140, Count of 1s: 2, Samples with 1s: ['ERR4034254', 'ERR4036777']
Gene: group_11146, Count of 1s: 2, Samples with 1s: ['ERR4036182', 'ERR4037406']
Gene: rdgC_1, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4034915']
Gene: group_11158, Count of 1s: 2, Samples with 1s: ['ERR4034394', 'ERR4035454']
Gene: group_11161, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_11162, Count of 1s: 2, Samples with 1s: ['ERR4035939', 'ERR4036045']
Gene: group_11167, Count of 1s: 2, Samples with 1s: ['ERR4034538', 'ERR4035135']
Gene: yfaL_1, Count of 1s: 2, Samples with 1s: ['ERR4034313', 'ERR4036397']
Gene: group_11171, Count of 1s: 2, Samples with 1s: ['ERR4035712', 'ERR4036614']
Gene: group_11173, Count of 1s: 2, Samples with 1s: ['ERR4034864', 'ERR4036380']
Gene: group_11177, Count of 1s: 2, Samples with 1s: ['ERR4036499', 'ERR4037009']
Gene: group_11181, Count of 1s: 2, Samples with 1s: ['ERR4036171', 'ERR4036921']
Gene: group_11185, Count of 1s: 2, Samples with 1s: ['ERR4035712', 'ERR4036614']
Gene: group_11190, Count of 1s: 2, Samples with 1s: ['ERR4034944', 'ERR4036280']
Gene: group_11206, Count of 1s: 2, Samples with 1s: ['ERR4035690', 'ERR4037202']
Gene: group_11208, Count of 1s: 2, Samples with 1s: ['ERR4037259', 'ERR4037482']
Gene: group_11209, Count of 1s: 2, Samples with 1s: ['ERR4034462', 'ERR4036777']
Gene: group_11218, Count of 1s: 2, Samples with 1s: ['ERR4035817', 'ERR4036171']
Gene: group_11219, Count of 1s: 2, Samples with 1s: ['ERR4037406', 'ERR4037435']
Gene: group_1122, Count of 1s: 2, Samples with 1s: ['ERR4034687', 'ERR4036921']
Gene: group_11221, Count of 1s: 2, Samples with 1s: ['ERR4034563', 'ERR4036380']
Gene: group_11226, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4034915']
Gene: group_11227, Count of 1s: 2, Samples with 1s: ['ERR4035771', 'ERR4036856']
Gene: group_11229, Count of 1s: 2, Samples with 1s: ['ERR4035229', 'ERR4036383']
Gene: group_11244, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_11250, Count of 1s: 2, Samples with 1s: ['ERR4036045', 'ERR4037423']
Gene: group_11253, Count of 1s: 2, Samples with 1s: ['ERR4034162', 'ERR4036182']
Gene: group_11261, Count of 1s: 2, Samples with 1s: ['ERR4034825', 'ERR4036936']
Gene: group_11262, Count of 1s: 2, Samples with 1s: ['ERR4034964', 'ERR4035377']
Gene: group_11265, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4034915']
Gene: group_11266, Count of 1s: 2, Samples with 1s: ['ERR4036380', 'ERR4036501']
Gene: group_11272, Count of 1s: 2, Samples with 1s: ['ERR4034475', 'ERR4034915']
Gene: group_11274, Count of 1s: 2, Samples with 1s: ['ERR4035826', 'ERR4036499']
Gene: group_11275, Count of 1s: 2, Samples with 1s: ['ERR4034687', 'ERR4034743']
Gene: group_11283, Count of 1s: 2, Samples with 1s: ['ERR4037260', 'ERR4037450']
Gene: group_11287, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_11290, Count of 1s: 2, Samples with 1s: ['ERR4036280', 'ERR4036483']
Gene: group_11294, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036391']
Gene: group_11295, Count of 1s: 2, Samples with 1s: ['ERR4035152', 'ERR4035919']
Gene: group_11298, Count of 1s: 2, Samples with 1s: ['ERR4035520', 'ERR4036900']
Gene: group_11300, Count of 1s: 2, Samples with 1s: ['ERR4036930', 'ERR4037116']
Gene: group_11305, Count of 1s: 2, Samples with 1s: ['ERR4034538', 'ERR4037259']
Gene: group_11308, Count of 1s: 2, Samples with 1s: ['ERR4036614', 'ERR4036777']
Gene: group_11309, Count of 1s: 2, Samples with 1s: ['ERR4034814', 'ERR4036894']
Gene: group_11321, Count of 1s: 2, Samples with 1s: ['ERR4035919', 'ERR4037405']
Gene: group_11323, Count of 1s: 2, Samples with 1s: ['ERR4035238', 'ERR4036178']
Gene: group_11329, Count of 1s: 2, Samples with 1s: ['ERR4034218', 'ERR4036038']
Gene: group_11332, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_1134, Count of 1s: 2, Samples with 1s: ['ERR4034854', 'ERR4035939']
Gene: group_11341, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_11345, Count of 1s: 2, Samples with 1s: ['ERR4034884', 'ERR4034979']
Gene: group_11346, Count of 1s: 2, Samples with 1s: ['ERR4035817', 'ERR4035919']
Gene: group_11349, Count of 1s: 2, Samples with 1s: ['ERR4034376', 'ERR4036777']
Gene: group_11355, Count of 1s: 2, Samples with 1s: ['ERR4036947', 'ERR4037423']
Gene: group_11359, Count of 1s: 2, Samples with 1s: ['ERR4034598', 'ERR4036144']
Gene: group_11360, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_11361, Count of 1s: 2, Samples with 1s: ['ERR4034563', 'ERR4036163']
Gene: group_11371, Count of 1s: 2, Samples with 1s: ['ERR4034563', 'ERR4036333']
Gene: group_11385, Count of 1s: 2, Samples with 1s: ['ERR4034254', 'ERR4036182']
Gene: group_11387, Count of 1s: 2, Samples with 1s: ['ERR4034942', 'ERR4035520']
Gene: group_11388, Count of 1s: 2, Samples with 1s: ['ERR4035328', 'ERR4036380']
Gene: group_11390, Count of 1s: 2, Samples with 1s: ['ERR4035377', 'ERR4036182']
Gene: group_11392, Count of 1s: 2, Samples with 1s: ['ERR4034964', 'ERR4035377']
Gene: group_11398, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4034915']
Gene: group_11404, Count of 1s: 2, Samples with 1s: ['ERR4035274', 'ERR4036175']
Gene: group_11406, Count of 1s: 2, Samples with 1s: ['ERR4036245', 'ERR4037099']
Gene: group_11411, Count of 1s: 2, Samples with 1s: ['ERR4035268', 'ERR4037009']
Gene: group_11413, Count of 1s: 2, Samples with 1s: ['ERR4035238', 'ERR4036178']
Gene: group_11417, Count of 1s: 2, Samples with 1s: ['ERR4034670', 'ERR4035318']
Gene: group_11420, Count of 1s: 2, Samples with 1s: ['ERR4034687', 'ERR4035919']
Gene: group_11422, Count of 1s: 2, Samples with 1s: ['ERR4037218', 'ERR4037259']
Gene: group_11424, Count of 1s: 2, Samples with 1s: ['ERR4034303', 'ERR4035826']
Gene: group_11425, Count of 1s: 2, Samples with 1s: ['ERR4034254', 'ERR4037448']
Gene: group_11429, Count of 1s: 2, Samples with 1s: ['ERR4034687', 'ERR4035919']
Gene: group_11430, Count of 1s: 2, Samples with 1s: ['ERR4035969', 'ERR4037382']
Gene: group_11435, Count of 1s: 2, Samples with 1s: ['ERR4035939', 'ERR4036045']
Gene: group_11442, Count of 1s: 2, Samples with 1s: ['ERR4034162', 'ERR4036745']
Gene: group_11445, Count of 1s: 2, Samples with 1s: ['ERR4035229', 'ERR4035568']
Gene: group_11447, Count of 1s: 2, Samples with 1s: ['ERR4034111', 'ERR4035268']
Gene: group_11450, Count of 1s: 2, Samples with 1s: ['ERR4035939', 'ERR4036045']
Gene: group_11451, Count of 1s: 2, Samples with 1s: ['ERR4034467', 'ERR4034563']
Gene: group_11454, Count of 1s: 2, Samples with 1s: ['ERR4036131', 'ERR4037393']
Gene: group_11458, Count of 1s: 2, Samples with 1s: ['ERR4034506', 'ERR4034825']
Gene: group_11463, Count of 1s: 2, Samples with 1s: ['ERR4035900', 'ERR4035970']
Gene: group_11465, Count of 1s: 2, Samples with 1s: ['ERR4034884', 'ERR4034979']
Gene: group_11469, Count of 1s: 2, Samples with 1s: ['ERR4034254', 'ERR4036483']
Gene: group_11470, Count of 1s: 2, Samples with 1s: ['ERR4034667', 'ERR4037362']
Gene: group_11473, Count of 1s: 2, Samples with 1s: ['ERR4034971', 'ERR4035283']
Gene: group_11480, Count of 1s: 2, Samples with 1s: ['ERR4034964', 'ERR4035377']
Gene: group_11483, Count of 1s: 2, Samples with 1s: ['ERR4034870', 'ERR4036245']
Gene: group_11484, Count of 1s: 2, Samples with 1s: ['ERR4035328', 'ERR4035406']
Gene: group_11486, Count of 1s: 2, Samples with 1s: ['ERR4034162', 'ERR4035520']
Gene: group_11491, Count of 1s: 2, Samples with 1s: ['ERR4036163', 'ERR4036900']
Gene: group_11492, Count of 1s: 2, Samples with 1s: ['ERR4034964', 'ERR4035377']
Gene: group_11494, Count of 1s: 2, Samples with 1s: ['ERR4035969', 'ERR4036182']
Gene: group_11496, Count of 1s: 2, Samples with 1s: ['ERR4035238', 'ERR4036178']
Gene: group_11504, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_1151, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4034915']
Gene: group_11511, Count of 1s: 2, Samples with 1s: ['ERR4034667', 'ERR4035268']
Gene: group_11513, Count of 1s: 2, Samples with 1s: ['ERR4034971', 'ERR4035212']
Gene: group_11514, Count of 1s: 2, Samples with 1s: ['ERR4034563', 'ERR4036333']
Gene: group_11515, Count of 1s: 2, Samples with 1s: ['ERR4034154', 'ERR4037222']
Gene: group_11522, Count of 1s: 2, Samples with 1s: ['ERR4035900', 'ERR4036489']
Gene: group_11527, Count of 1s: 2, Samples with 1s: ['ERR4034154', 'ERR4034376']
Gene: group_11533, Count of 1s: 2, Samples with 1s: ['ERR4034687', 'ERR4034854']
Gene: group_11535, Count of 1s: 2, Samples with 1s: ['ERR4036144', 'ERR4037009']
Gene: group_11536, Count of 1s: 2, Samples with 1s: ['ERR4035320', 'ERR4036380']
Gene: group_11539, Count of 1s: 2, Samples with 1s: ['ERR4037406', 'ERR4037423']
Gene: group_11545, Count of 1s: 2, Samples with 1s: ['ERR4036383', 'ERR4036745']
Gene: group_11552, Count of 1s: 2, Samples with 1s: ['ERR4034254', 'ERR4036483']
Gene: group_11560, Count of 1s: 2, Samples with 1s: ['ERR4037046', 'ERR4037448']
Gene: group_11564, Count of 1s: 2, Samples with 1s: ['ERR4036424', 'ERR4036811']
Gene: acsA, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4034915']
Gene: group_11572, Count of 1s: 2, Samples with 1s: ['ERR4035690', 'ERR4037150']
Gene: group_11573, Count of 1s: 2, Samples with 1s: ['ERR4034864', 'ERR4034938']
Gene: group_11574, Count of 1s: 2, Samples with 1s: ['ERR4035765', 'ERR4036501']
Gene: group_11584, Count of 1s: 2, Samples with 1s: ['ERR4034672', 'ERR4035564']
Gene: group_11587, Count of 1s: 2, Samples with 1s: ['ERR4035320', 'ERR4036769']
Gene: group_11591, Count of 1s: 2, Samples with 1s: ['ERR4035238', 'ERR4036178']
Gene: group_11592, Count of 1s: 2, Samples with 1s: ['ERR4036144', 'ERR4036501']
Gene: group_11593, Count of 1s: 2, Samples with 1s: ['ERR4034598', 'ERR4036144']
Gene: group_11595, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_11597, Count of 1s: 2, Samples with 1s: ['ERR4036483', 'ERR4036499']
Gene: group_11602, Count of 1s: 2, Samples with 1s: ['ERR4035976', 'ERR4036383']
Gene: group_11610, Count of 1s: 2, Samples with 1s: ['ERR4035765', 'ERR4037435']
Gene: group_11616, Count of 1s: 2, Samples with 1s: ['ERR4035542', 'ERR4036921']
Gene: group_11617, Count of 1s: 2, Samples with 1s: ['ERR4037329', 'ERR4037396']
Gene: group_11619, Count of 1s: 2, Samples with 1s: ['ERR4034218', 'ERR4036936']
Gene: dnaQ_1, Count of 1s: 2, Samples with 1s: ['ERR4037046', 'ERR4037151']
Gene: group_11623, Count of 1s: 2, Samples with 1s: ['ERR4034864', 'ERR4035561']
Gene: group_11629, Count of 1s: 2, Samples with 1s: ['ERR4034218', 'ERR4035152']
Gene: group_11639, Count of 1s: 2, Samples with 1s: ['ERR4035765', 'ERR4036391']
Gene: group_1164, Count of 1s: 2, Samples with 1s: ['ERR4037218', 'ERR4037259']
Gene: group_11647, Count of 1s: 2, Samples with 1s: ['ERR4034538', 'ERR4037260']
Gene: group_1165, Count of 1s: 2, Samples with 1s: ['ERR4035408', 'ERR4037442']
Gene: repA_1, Count of 1s: 2, Samples with 1s: ['ERR4036483', 'ERR4037448']
Gene: group_1166, Count of 1s: 2, Samples with 1s: ['ERR4035328', 'ERR4036380']
Gene: group_11661, Count of 1s: 2, Samples with 1s: ['ERR4036930', 'ERR4037009']
Gene: group_11668, Count of 1s: 2, Samples with 1s: ['ERR4035765', 'ERR4036501']
Gene: group_11669, Count of 1s: 2, Samples with 1s: ['ERR4035152', 'ERR4035683']
Gene: group_1167, Count of 1s: 2, Samples with 1s: ['ERR4035274', 'ERR4036175']
Gene: group_11671, Count of 1s: 2, Samples with 1s: ['ERR4034598', 'ERR4036144']
Gene: group_11680, Count of 1s: 2, Samples with 1s: ['ERR4034538', 'ERR4037260']
Gene: group_11682, Count of 1s: 2, Samples with 1s: ['ERR4034699', 'ERR4036333']
Gene: group_11689, Count of 1s: 2, Samples with 1s: ['ERR4035683', 'ERR4037448']
Gene: group_11691, Count of 1s: 2, Samples with 1s: ['ERR4034825', 'ERR4037260']
Gene: group_11695, Count of 1s: 2, Samples with 1s: ['ERR4034462', 'ERR4035520']
Gene: group_11698, Count of 1s: 2, Samples with 1s: ['ERR4035765', 'ERR4036501']
Gene: group_1170, Count of 1s: 2, Samples with 1s: ['ERR4034964', 'ERR4035377']
Gene: group_11703, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4036380']
Gene: group_11705, Count of 1s: 2, Samples with 1s: ['ERR4035238', 'ERR4036178']
Gene: group_11707, Count of 1s: 2, Samples with 1s: ['ERR4035919', 'ERR4037382']
Gene: group_11710, Count of 1s: 2, Samples with 1s: ['ERR4035238', 'ERR4036178']
Gene: group_11711, Count of 1s: 2, Samples with 1s: ['ERR4034254', 'ERR4037448']
Gene: group_11712, Count of 1s: 2, Samples with 1s: ['ERR4034629', 'ERR4034915']
Gene: group_11719, Count of 1s: 2, Samples with 1s: ['ERR4036501', 'ERR4037009']
Gene: group_11720, Count of 1s: 2, Samples with 1s: ['ERR4035268', 'ERR4037405']
Gene: group_11721, Count of 1s: 2, Samples with 1s: ['ERR4034884', 'ERR4036199']
Gene: group_11727, Count of 1s: 2, Samples with 1s: ['ERR4034467', 'ERR4036535']
Gene: group_11728, Count of 1s: 2, Samples with 1s: ['ERR4036107', 'ERR4036894']
Gene: group_11730, Count of 1s: 2, Samples with 1s: ['ERR4036348', 'ERR4036413']
Gene: group_11731, Count of 1s: 2, Samples with 1s: ['ERR4034538', 'ERR4037260']
Gene: group_11732, Count of 1s: 2, Samples with 1s: ['ERR4034538', 'ERR4037260']
Gene: group_11747, Count of 1s: 2, Samples with 1s: ['ERR4036483', 'ERR4036811']
Gene: group_11752, Count of 1s: 2, Samples with 1s: ['ERR4034964', 'ERR4035377']
Gene: group_11754, Count of 1s: 2, Samples with 1s: ['ERR4035318', 'ERR4036182']
Gene: group_11755, Count of 1s: 2, Samples with 1s: ['ERR4034687', 'ERR4036921']
